"Active","Aktiv"
"Add Rule","Lägg till regel"
"Add to Cart","Lägg till i varukorg"
"Add to Compare","Lägg till jämförelse"
"Add to Wishlist","Lägg till önskelista"
"An error occurred while saving Product Rule.","Ett fel uppstod vid försök att spara produktregeln."
"Applies To","Används för"
"Apply To","Används för"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attributkoden är ogiltig. Använd bara bokstäver (a-z), nummer (0-9) eller understräck (_) i fältet. Första tecknet ska vara en bokstav."
"Based on your selection, you may be interested in the following items:","Utifrån dina val är du kanske intresserad av:"
"Both Selected and Rule-Based","Båda valda och regel-baserade"
"Catalog","Katalog"
"Check items to add to the cart or","Markera artiklar att lägga i varukorg eller"
"Close","Stäng"
"Conditions Combination","Kombinera villkor"
"Constant Value","Fast värde"
"Cross-sells","Korsförsäljning"
"Date Expire","Utgångsdatum"
"Date Start","Startdatum"
"Do not rotate","Do not rotate"
"Edit Rule '%s'","Ändra regel '%s'"
"From Date","Från datum"
"General Rule Information","Allmän regelinformation"
"ID","ID"
"Inactive","Inaktiv"
"Invalid date.","Ogiltigt datum."
"Invalid product list type","Ogiltig (produkt)listtyp"
"Invalid rotation mode type","Invalid rotation mode type"
"Manage Product Rules","Manage Product Rules"
"Matched Product %s","Matched Product %s"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximum number of products that can be matched by this Rule. Capped to 20."
"New Rule","New Rule"
"Please choose a condition to add...","Please choose a condition to add..."
"Please define product data object","Please define product data object"
"Position Behavior","Position Behavior"
"Price (percentage)","Price (percentage)"
"Priority","Priority"
"Product %s%s%s%s%s%s%s","Product %s%s%s%s%s%s%s"
"Product Attributes","Product Attributes"
"Product Match Conditions (leave blank for matching all products)","Product Match Conditions (leave blank for matching all products)"
"Product Price is %s %s%% of Matched Product(s) Price","Product Price is %s %s%% of Matched Product(s) Price"
"Product Result Conditions (leave blank for matching all products)","Product Result Conditions (leave blank for matching all products)"
"Product Rule Information","Product Rule Information"
"Product Special","Product Special"
"Product list type identifier does not defined","Product list type identifier does not defined"
"Products to Display","Products to Display"
"Products to Match","Products to Match"
"Related Products","Related Products"
"Result Limit","Result Limit"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
"Rule Information","Rule Information"
"Rule Name","Regelnamn"
"Rule-Based Only","Rule-Based Only"
"Rule-Based Product Relations","Rule-Based Product Relations"
"Rule-based Positions","Rule-based Positions"
"Rule-based Product Relations","Rule-based Product Relations"
"Rule-based Settings","Rule-based Settings"
"Save and Continue Edit","Save and Continue Edit"
"Selected Only","Selected Only"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Show Related Products","Show Related Products"
"Show Upsell Products","Show Upsell Products"
"Shuffle","Blanda"
"Status","Status"
"Target Product ","Target Product "
"Target Rules","Target Rules"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"Unable to find a page to delete","Unable to find a page to delete"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"Up-sells","Merförsäljning"
"Use Config Settings","Use Config Settings"
"Wrong rule specified.","Wrong rule specified."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"equal to","equal to"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"less","färre"
"more","fler"
"select all","markera alla"
"the Child of the Matched Product Categories","the Child of the Matched Product Categories"
"the Same as Matched Product Categories","the Same as Matched Product Categories"
"unselect all","avmarkera alla"
