"(eg: domain.com/identifier)","Om du exempelvis har domänen example.com, använd <i>om oss</i> för att få fullständiga adressen http://example.com/om-oss"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Action","Åtgärd"
"Add New Block","Lägg till nytt block"
"Add New Page","Lägg till ny sida"
"All Countries","All Countries"
"All countries","Alla länder"
"An error occurred while saving the page.","An error occurred while saving the page."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Block","Block"
"Block Information","Blockinformation"
"Block Title","Blocktitel"
"Block was successfully deleted","Blocket har tagits bort"
"Block was successfully saved","Blocket har sparats"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","Hemsida för CMS"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS No Route Page","Ingen-sida-funnen för CMS"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page","CMS Page"
"CMS Page Link","CMS Page Link"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","CMS Pages (All)"
"CMS Static Block","CMS Static Block"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory.","Cannot create new directory."
"Cannot delete directory %s.","Cannot delete directory %s."
"Cannot delete root directory %s.","Cannot delete root directory %s."
"Cannot upload file.","Cannot upload file."
"Collapse All","Collapse All"
"Content","Innehåll"
"Content Heading","Content Heading"
"Content Management","Content Management"
"Contents of a Static Block","Contents of a Static Block"
"Create Folder...","Create Folder..."
"Custom Design","Anpassad design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","Anpassat tema"
"Custom Theme From","Anpassat tema från"
"Custom Theme To","Anpassat tema till"
"Customer Tax Class Information","Information om momsklass för kund"
"Date Created","Skapades den"
"Delete Block","Ta bort block"
"Delete File","Delete File"
"Delete Folder","Delete Folder"
"Delete Page","Ta bort sidan"
"Description","Beskrivning"
"Design","Design"
"Disabled","Inaktiverad"
"Disabled Completely","Disabled Completely"
"Disabled by Default","Disabled by Default"
"Edit Block","Ändra blocket"
"Edit Block '%s'","Ändra blocket '%s'"
"Edit Page","Ändra sidan"
"Edit Page '%s'","Ändra sidan '%s'"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"Enabled","Aktiverad"
"Enabled by Default","Enabled by Default"
"Expand All","Expand All"
"General Information","Allmän information"
"Go to Home Page","Gå till hemsidan"
"Home","Hem"
"ID","ID"
"Identifier","URL"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"Images (%s)","Images (%s)"
"Insert File","Insert File"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Invalid folder name. Please, use alphanumeric characters, underscores and dashes."
"Keywords","Nyckelord"
"Last Modified","Senast ändrad"
"Layout","Layout"
"Layout Update XML","XML för layoutuppdateringar"
"Link to a CMS Page","Link to a CMS Page"
"Manage Pages","Hantera sidor"
"Media Gallery","Media Gallery"
"Media Storage","Media Storage"
"Meta Data","Metadata"
"Meta Description","Metabeskrivning"
"Meta Keywords","Metanyckelord"
"New Block","Nytt block"
"New Folder Name:","New Folder Name:"
"New Page","Ny sida"
"No files found","No files found"
"Page Identifier cannot consist only of numbers.","Sididentifierare kan inte bestå av enbart nummer."
"Page Identifier for specified store already exist.","Sididentifierare för angiven butik, finns redan."
"Page Information","Information om sida"
"Page Layout","Page Layout"
"Page Status","Sidstatus"
"Page Title","Sidtitel"
"Page was successfully deleted","Sidan har tagits bort"
"Page was successfully saved","Sidan har uppdaterats"
"Pages","Pages"
"Poll Manager","Hantera enkäter"
"Product Tax Class Information","Information om momsklass för produkt"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Relative to Website Base URL","Relative to Website Base URL"
"SEF URL Identifier","Sökmotorvänlig URL"
"Save Block","Spara block"
"Save Page","Spara sida"
"Save Process","Save Process"
"Select Block...","Select Block..."
"Select Page...","Select Page..."
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Show breadcrumbs for CMS pages","Visa brödsmulor för CMS-sidor"
"Static Blocks","Statiska block"
"Status","Status"
"Storage Root","Storage Root"
"Store View","Butiksvy"
"Such a block identifier in selected store already exist.","En sådan blockidentifierare för vald butik, finns redan."
"Template","Template"
"The block has been deleted.","The block has been deleted."
"The block has been saved.","The block has been saved."
"The directory %s is not writable by server.","The directory %s is not writable by server."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page has been deleted.","The page has been deleted."
"The page has been saved.","The page has been saved."
"The page you are trying to save no longer exists","Sidan du försöker att spara finns inte längre"
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists","Detta block finns inte längre"
"This block no longer exists.","This block no longer exists."
"This page no longer exists","Denna sidan finns inte längre"
"This page no longer exists.","This page no longer exists."
"Title","Titel"
"URL Key","URL Key"
"Unable to find a block to delete","Blocket kunde inte tas bort då det inte kunde hittas"
"Unable to find a block to delete.","Unable to find a block to delete."
"Unable to find a page to delete","Sidan gick inte att ta bort då den inte kunde hittas"
"Unable to find a page to delete.","Unable to find a page to delete."
"WYSIWYG Options","WYSIWYG Options"
"px.","px."
