"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Dagligen"
"Failure History Lifetime","Failure History Lifetime"
"Failure history lifetime","Livslängd för felhistorik"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate Schedules Every","Generate Schedules Every"
"Generate schedules every","Generate schedules every"
"History Cleanup Every","History Cleanup Every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if Not Run Within","Missed if Not Run Within"
"Missed if not run within","Missas om den inte körs inom"
"Monthly","Månadsvis"
"No callbacks found","No callbacks found"
"Schedule Ahead for","Schedule Ahead for"
"Schedule ahead for","Schemalägg framåt för"
"Success History Lifetime","Success History Lifetime"
"Success history lifetime","Livslängd för loggning av lyckade transaktioner"
"Too late for the schedule","Too late for the schedule"
"Too late for the schedule.","Too late for the schedule."
"Unable to save Cron expression","Det gick inte att spara uttryck för cronjobb"
"Unable to save the cron expression.","Unable to save the cron expression."
"Unknown error","Unknown error"
"Unknown error.","Unknown error."
"Weekly","Veckovis"
