"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Länk</a>"
"Access denied to destination folder ""%s""","Åtkomst nekas till destinationsmappen ""%s"""
"Actions XML is not valid.","Actions XML is not valid."
"An error occurred while opening file: ""%s"".","An error occurred while opening file: ""%s""."
"Could not load file: ""%s""","Det gick inte att ladda filen: ""%s"""
"Could not load file: ""%s"".","Could not load file: ""%s""."
"Could not save file: %s","Kunde inte spara filen: %s"
"Could not save file: %s.","Could not save file: %s."
"Declared adapter %s not found","Angiven adapter %s kunde inte hittas"
"Declared adapter %s was not found.","Declared adapter %s was not found."
"Destination folder ""%s"" does not exist or not access to create","Destinationsmapp ""%s"" finns inte eller så finns det inte rättigheter att skapa"
"Destination folder ""%s"" is not a directory","Destinationsmappen ""%s"" är inte en katalog"
"Destination folder ""%s"" is not a directory.","Destination folder ""%s"" is not a directory."
"Destination folder ""%s"" is not a writeable","Det går inte att skriva till destinationsmappen ""%s"""
"Destination folder ""%s"" is not writable.","Destination folder ""%s"" is not writable."
"Done","Klart"
"Dry run set, stopping execution","Avbryter verkställning"
"Dry run set, stopping execution.","Dry run set, stopping execution."
"ETA: %s","Klart om c.a.: %s"
"Error field mapping! Fields list for mapping is not defined","Ett fel uppstod när fält skulle kopplas. Lista över fältkopplingar har inte angetts"
"Error in field mapping: field list for mapping is not defined.","Error in field mapping: field list for mapping is not defined."
"Error occured during file opening: ""%s""","Ett fel uppstod när fil skulle öppnas: ""%s"""
"File ""%s"" does not exist.","File ""%s"" does not exist."
"File ""%s"" don't exist","Filen ""%s"" finns inte"
"Found %d rows","Hittade %d rader"
"Found %d rows.","Found %d rows."
"Less than a minute","Mindre än en minut"
"Loaded successfully: ""%s""","Har laddats: ""%s"""
"Loaded successfully: ""%s"".","Loaded successfully: ""%s""."
"Memory Used: %s","Minne förbrukat: %s"
"Method ""%s"" not defined in adapter %s","Metoden ""%s"" har inte angetts i adaptern %s"
"Method ""%s"" not defined in adapter %s.","Method ""%s"" not defined in adapter %s."
"Method ""%s"" was not defined in adapter %s.","Method ""%s"" was not defined in adapter %s."
"Please declare ""adapter"" and ""method"" node first","Vänligen ange först ""adapter"" och ""metod""-noder"
"Please declare ""adapter"" and ""method"" nodes first.","Please declare ""adapter"" and ""method"" nodes first."
"Processed records: %s","Behandlade poster: %s"
"Profile with the same name already exists.","Profile with the same name already exists."
"Saved successfully: ""%s"" [%d byte(s)]","Har sparats:  ""%s"" [%d byte(s)]"
"Saved successfully: ""%s"" [%d byte(s)].","Saved successfully: ""%s"" [%d byte(s)]."
"Sheet 1","Blad 1"
"Skip undefined row","Hoppa över odefinierad rad"
"Skip undefined row.","Skip undefined row."
"Starting %s :: %s","Börjar %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","The destination folder ""%s"" does not exist or there is no access to create it."
"Total records: %s","Poster totalt: %s"
"hour","timme"
"hours","timmar"
"minute","minut"
"minutes","minuter"
