"-- Please select --","-- Vänligen välj --"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies","Tillåtna valutor"
"Base Currency","Base Currency"
"Base currency","Base currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Cannot retrieve rate from %s","Kan inte hämta valutakurs från %s"
"Cannot retrieve rate from %s.","Cannot retrieve rate from %s."
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Fortsätt &raquo;"
"Country","Land"
"Country API","Country API"
"Country Api","Country Api"
"Country and Format Type combination should be unique","Kombinationen land och formattyp bör vara unik"
"Currency","Valuta"
"Currency Options","Alternativ för valuta"
"Currency Setup","Valutainställningar"
"Currency Update Warnings","Varningar för valutauppdateringar"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default Display Currency","Default Display Currency"
"Default display currency","Förvald valuta"
"Directory","Directory"
"Display not required State","Display not required State"
"Enabled","Aktiverad"
"Error Email Recipient","Felaktig e-postmottagare"
"Error Email Sender","Felaktig e-postavsändare"
"Error Email Template","Felaktig e-postmall"
"FATAL ERROR:","Allvarligt fel:"
"Frequency","Frekvens"
"Installed Currencies","Installerade valutor"
"Invalid Import Service Specified","Ogiltig importtjänst har angetts"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid country code: %s","Ogiltig landskod: %s"
"Invalid rates received","Ogiltiga valutakurser har mottagits"
"Invalid target currency","Ogiltig målvaluta"
"Invalid target currency.","Invalid target currency."
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Postal Code is Optional for the following countries","Postal Code is Optional for the following countries"
"Region","Region"
"Region API","Region API"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Inställningar för schemalagd import"
"Select Your Currency","Välj din valuta"
"Service","Tjänst"
"Start Time","Starttid"
"State is required for","State is required for"
"State/Province","Region"
"States Options","States Options"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Det gick inte att initiera importmodell"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s""","Odefinierad valutakurs från ""%s-%s"""
"Undefined rate from ""%s-%s"".","Undefined rate from ""%s-%s""."
"WARNING:","Varning:"
"Webservicex","Webservicex"
"Your current currency is: %s","Din nuvarande valuta är: %s"
