"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","Inloggningsnamn för API"
"Accepted Currency","Accepted Currency"
"Allow Partial Authorization","Allow Partial Authorization"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment."
"Authorize Only","Endast auktorisering"
"Authorize and Capture","Auktorisera och fånga"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","Cancel"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Bankkortstyper"
"Credit Card Verification","Verifiering av bankkort"
"Credit Card: xxxx-%s","Credit Card: xxxx-%s"
"Debug","Avlusa"
"Email Customer","Email Customer"
"Email customer","E-posta kund"
"Enabled","Aktiverad"
"Error in authorizing the payment","Ett fel uppstod när betalningen skulle auktoriseras"
"Error in capturing the payment","Ett fel uppstod när betalningen skulle fångas"
"Error in payment gateway","Ett fel uppstod med betalningsgateway"
"Error in payment gateway.","Error in payment gateway."
"Error in refunding the payment","Ett fel uppstod vid återköp av betalning"
"Error in refunding the payment.","Ett fel uppstod vid återköp av betalning."
"Error in retrieving the transaction","Ett fel uppstod när transkationen skulle hämtas"
"Fraud order status","Status för falska beställningar"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Gateway error: %s","Gateway error: %s"
"Gateway request error: %s","Ett fel uppstod vid begäran till gateway: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Invalid amount for authorization","Ogiltigt belopp för auktorisering"
"Invalid amount for authorization.","Ogiltigt belopp för auktorisering."
"Invalid amount for capture.","Invalid amount for capture."
"Invalid amount for partial authorization.","Invalid amount for partial authorization."
"Invalid amount for refund.","Invalid amount for refund."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Invalid transaction id","Ogiltigt transaktionsid"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Inloggning för handlare"
"Merchant's Email","Merchant's Email"
"Merchant's email","E-post för handlare"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"New order status","Ändrat status för beställning"
"Partner","Partner"
"Password","Lösenord"
"Payflow Pro","Payflow Pro"
"Payment Action","Betalningsåtgärd"
"Payment authorization error.","Ett fel uppstod vid auktorisering av betalning."
"Payment authorization transaction has been declined.","Transaktion för auktorisering av betalning har nekats."
"Payment canceling error.","Payment canceling error."
"Payment capturing error.","Payment capturing error."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from Specific countries","Betalning från särskilda länder"
"Payment from applicable countries","Betalning från godkända länder"
"Payment partial authorization error.","Payment partial authorization error."
"Payment refunding error.","Payment refunding error."
"Payment updating error.","Payment updating error."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Processed Amount"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Remaining Balance","Remaining Balance"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Shopping cart contents and/or address has been changed."
"Sort Order","Sort Order"
"Sort order","Sortering"
"TENDER","ANBUD"
"Test Mode","Test Mode"
"Test mode","Testläge"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel."
"There was an error canceling transactions. Please contact us or try again later.","There was an error canceling transactions. Please contact us or try again later."
"Title","Titel"
"Transaction Key","Transaction Key"
"Transaction key","Transaktionsnyckel"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Användare"
"VERBOSITY","DETALJRIKEDOM"
"Voided transaction","Annullerad transaktion"
"You have reached the maximum number of credit card allowed to be used for the payment.","You have reached the maximum number of credit card allowed to be used for the payment."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released."
"amount %s","amount %s"
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"failed","failed"
"refund","refund"
"successful","successful"
"void","void"
