" was not delivered nor scanned","har inte levererats eller skannats"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"1 Day Freight","Frakt 1 dag"
"2 Day","2 Day"
"2 Day AM","2 Day AM"
"2 Day Freight","Frakt 2 dagar"
"2Day","2 dagar"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Frakt 3 dagar"
"3 Day Select","3 Day Select"
"Access ID","Åtkomst-ID"
"Access License Number","Access License Number"
"Access license number","Licensnummer"
"Account ID","Konto-ID"
"Account Number","Account Number"
"Account number","Kontonummer"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Adult","Adult"
"Adult Signature Required","Adult Signature Required"
"All Services","Alla tjänster"
"Allowed Methods","Allowed Methods"
"Allowed methods","Tillåtna metoder"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"Bound Printed Matter","Bundet material"
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Servicecenter"
"Calculate Handling Fee","Beräkna hanteringsavgift"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Cannot identify measure unit for %s"
"Cannot identify weight unit for %s","Cannot identify weight unit for %s"
"Cannot retrieve shipping rates","Kan inte hämta fraktavgifter"
"Centimeters","Centimeters"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Container"
"Content Type","Content Type"
"Customer Packaging","Customer Packaging"
"Customer Supplied Package","Customer Supplied Package"
"Customer services","Customer services"
"DHL","DHL"
"DHL (Deprecated)","DHL (Deprecated)"
"Debug","Debug"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Levererad"
"Delivery Confirmation","Delivery Confirmation"
"Depth","Depth"
"Destination Type","Destination Type"
"Destination facility code is empty","Destination facility code is empty"
"Destination type","Destinationstyp"
"Development","Development"
"Direct","Direct"
"Displayed Error Message","Visat felmeddelande"
"Divide Order Weight","Divide Order Weight"
"Documents","Documents"
"Domestic Shipment Days","Domestic Shipment Days"
"Domestic economy select","Domestic economy select"
"Domestic express","Domestic express"
"Drop Box","In- och utlämningsställe"
"Dropoff","Avlämning"
"Easy shop","Easy shop"
"Economy select","Economy select"
"Empty response","Tomt svar"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Aktiverad"
"Enabled for Checkout","Enabled for Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Enables/Disables SSL verification of Magento server by UPS."
"Error #%s : %s","Error #%s : %s"
"Error #%s : %s (%s)","Fel #%s : %s (%s)"
"Error #%s: %s","Fel #%s: %s"
"Europack","Europack"
"Europe First Priority","1:a-klassbrev (Prioritaire)"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped"
"Express","Express"
"Express 10:30","Express 10:30"
"Express 10:30 AM","Express kl. 10:30"
"Express 12:00","Express 12:00"
"Express 9:00","Express 9:00"
"Express Mail","Expressbrev"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"Express easy","Express easy"
"Express envelope","Express envelope"
"Express worldwide","Express worldwide"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg paket"
"FedEx 25kg Box","FedEx 25kg paket"
"FedEx Box","FedEx-paket"
"FedEx Envelope","FedEx-brev"
"FedEx Pak","FedEx större brev (Pak)"
"FedEx Tube","FedEx-tub"
"First Overnight","First Overnight"
"First-Class","1:a klass"
"Flat","Fast pris"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free Method","Free Method"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Free method","Valfri metod"
"Free shipping with minimum order amount","Fraktfritt vid minsta beställningssumma"
"Freight","Freight"
"Freight worldwide","Freight worldwide"
"Gateway URL","Gateway-URL"
"Gateway XML URL","URL för gateway-XML"
"Gift","Gift"
"Girth","Girth"
"Globalmail business","Globalmail business"
"Ground","Markleverans"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Hanteringsavgift pålagd"
"Handling Fee","Handling Fee"
"Handling fee","Hanteringsavgift"
"Height","Height"
"Height, width and length should be equal or greater than %s","Height, width and length should be equal or greater than %s"
"Home Delivery","Hemleverans"
"Hub ID","Hub ID"
"Inches","Inches"
"Indirect","Indirect"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Ogiltig DHL XML-kod för typen %s: %s"
"Invalid DHL XML code type: %s","Ogiltig DHL XML-kod för typen: %s"
"Invalid FedEx XML code for type %s: %s","Ogiltig FedEx XML-kod för typen %s: %s"
"Invalid FedEx XML code type: %s","Ogiltig FedEx XML-kod för typen: %s"
"Invalid UPS CGI code for type %s: %s","Ogiltig UPS CGI-kod för typen %s: %s"
"Invalid UPS CGI code type: %s","Ogiltig UPS CGI-kod för typen: %s"
"Invalid USPS XML code for type %s: %s","Ogiltig USPS XML-kod för typen %s: %s"
"Invalid USPS XML code type: %s","Ogiltig USPS XML-kod för typen: %s"
"Jetline","Jetline"
"Jumbo box","Jumbo box"
"Key","Key"
"Kilograms","Kilograms"
"Large","Stor"
"Large Express Box","Large Express Box"
"Length","Length"
"Letter","Brev"
"Library","Bibliotek"
"Live","Live"
"Machinable","Maskinhanteringsbar"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximal paketvikt (vänligen kontakta din speditör för att få reda på maxvikten för försändelser)"
"Media Mail","Media Mail"
"Medical express","Medical express"
"Medium Express Box","Medium Express Box"
"Merchandise","Merchandise"
"Meter Number","Meter Number"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Minimum order amount for free shipping","Minsta beställningssumma för fraktfritt"
"Mode","Mode"
"National Freight","National Freight"
"Next Afternoon","Nästa dag"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Nej"
"No packages for request","No packages for request"
"Non Documents","Non Documents"
"Non documents","Non documents"
"Non-rectangular","Icke-rektangulärt"
"None","None"
"Not Required","Not Required"
"Order","Beställning"
"Order #%s","Order #%s"
"Origin of the Shipment","Origin of the Shipment"
"Origin of the shipment","Försändelsens ursprung"
"Origin serviceAreaCode is missing","Origin serviceAreaCode is missing"
"Other","Other"
"Others","Others"
"Oversize","Bred last"
"PAK","PAK"
"Package","Paket"
"Package Description","Beskrivning av paket"
"Package content is missing","Package content is missing"
"Packages Request Type","Packages Request Type"
"Packaging","Paketering"
"Pallet","Pallet"
"Parcel","Paket"
"Parcel Post","Paketpost"
"Password","Lösenord"
"Pickup Method","Pickup Method"
"Pickup method","Avhämtningsmetod"
"Piece Id barcode is missing","Piece Id barcode is missing"
"Piece number information is missing","Piece number information is missing"
"Please enter the package weight","Vänligen skriv in paketvikten"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Please, specify origin country","Please, specify origin country"
"Pounds","Pounds"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Product content code is invalid","Product content code is invalid"
"Product name is missing","Product name is missing"
"Receiver","Mottagare"
"Rectangular","Rektangulärt"
"Reference code is missing","Reference code is missing"
"Regular","Vanligt"
"Regular Pickup","Vanlig avhämtning"
"Request Courier","Begär avhämtning"
"Required","Required"
"Required for negotiated rates; 6-character UPS.","Required for negotiated rates; 6-character UPS."
"Residential","Residential"
"Residential Delivery","Residential Delivery"
"Response is in the wrong format","Svaret är i fel format"
"Return","Return"
"Round","Round"
"Routing barcode is missing","Routing barcode is missing"
"Same day","Same day"
"Sample","Sample"
"Sandbox Mode","Sandbox Mode"
"Second Day Service","Second Day Service"
"Secure Gateway URL","Secure Gateway URL"
"Secureline","Secureline"
"Sender","Avsändare"
"Sender city info is missing","Sender city info is missing"
"Sender contact name is missing","Sender contact name is missing"
"Sender country info is missing","Sender country info is missing"
"Service type does not match","Service type does not match"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Ship to Specific countries","Leverera till specifika länder"
"Ship to applicable countries","Leverera till godkända länder"
"Shipment Contains Hazardous Materials","Shipment Contains Hazardous Materials"
"Shipment Dutiable","Leverans förtullbar"
"Shipment Duty Payment Type","Betalningssätt för tullavgift"
"Shipment Type","Shipment Type"
"Shipment is not available.","Frakt är inte tillgängligt."
"Shipment picked up","Leverans har hämtats"
"Shipment type","Leveranstyp"
"Shipper Number","Shipper Number"
"Shipping Key","Shipping Key"
"Shipping Key (International)","Shipping Key (International)"
"Shipping key","Leveransnyckel"
"Shipping key (International)","Leveransnyckel (internationellt)"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Show method if not applicable","Visa metod om inte valbart"
"Signature Required","Signature Required"
"Size","Storlek"
"Small Express Box","Small Express Box"
"Smart Post","Smart Post"
"Sort Order","Sort Order"
"Sort order","Sortering"
"Specific","Specific"
"Sprintline","Sprintline"
"Standard Overnight","Standard Overnight"
"Station","Station"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal With Discount"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"The response is in wrong format.","The response is in wrong format."
"There is no available method for selected shipping address.","Det finns ingen leveranssätt för vald adress."
"There is no items in this order","There is no items in this order"
"Third Party","Tredjepart"
"Title","Titel"
"To Lower","To Lower"
"To Upper","To Upper"
"To lower","To lower"
"To upper","To upper"
"Tracking XML URL","URL för spårning-XML"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Type","UPS Type"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Worldwide Saver","UPS Worldwide Saver"
"UPS type","UPS-typ"
"USPS","USPS"
"Unable to retrieve tracking","Det gick inte att hämta data för spårning"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","XML för United Parcel Service"
"Unknown error","Okänt fel"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount."
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"User ID","Användar ID"
"UserId","Användar-ID"
"Variable","Variabel"
"Waybill barcode information is missing","Waybill barcode information is missing"
"Weight Unit","Viktenhet"
"Weight unit is invalid","Weight unit is invalid"
"Width","Width"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Wrong Content Type.","Wrong Content Type."
"Wrong Region.","Wrong Region."
"Yes","Ja"
"Your Packaging","Paketering"
"Zero shipping charge for '%s'","Zero shipping charge for '%s'"
"cm","cm"
"inch","inch"
